review_text,stars
Great place to stay if you are in the city by yourself. The hosts are very friendly and considerate with privacy and respect,5
"I loved the cubicle, it gave me everything I needed with was a place to sleep and enjoy the areas of the city.",5
"My second stay and it was just as great as the first time. Excellent location, quiet accommodations, all for a great price.",5
"The place was cozy and nice, perfect for single travelers who need a cheap stay in central NY",5
"A truly meaningful stay. Volunteering was a wonderful experience, and the hosts were incredibly kind. Great location.",5
"Definitely recommend to people who are solo travelers. I always wanted to go to NYC alone but did not want to pay 200$ by myself for a hotel room. Also I love watching musicals, going to jazz bars so saving money by staying in New jersey was a bit tricky. I would say this is the best place if u are wanting to enjoy the night of NYC + want to stay close to the penn station. It is 5 min walk from Penn station and the broadway is 7-10 min walk. The famous Jazz bars which I love to go, birdland is also 7 min walk. Absolutely loved it. About the bathroom, I kinda have anxiety of sharing bathrooms but to my surprise it was always clean. Loved it. The only thing I will say is about the bed size. It was fine with me to sleep on but I do not think you will have a good sleep if you are a big person, tall or big :) Anyways the staff members are also nice and u can drop your bags in the place which is really helpful if u r planning to immediately start hanging around in NYC.",5
"A great stay for the price in Chelsea. It’s communal living and everything is spotless, and the staff is very friendly and helpful. Definitely a go-to stay when in NYC.",5
"Terrific location, well-run hostel, friendly and helpful staff. Will absolutely stay there again.",5
"I had a great time at this hotel! My room had an amazing view, the location was right where I wanted to be, in Times Square, near different theaters. The check in and check out were very easy. All in all, I would stay in this hotel again and make sure to stay in it if i wanted to stay near Times Square again.",5
"I had a great experience staying at the Hilton in New York City, from the moment I checked in, to the moment I checked out. Michelle at the front desk, was very helpful and even checked us in early. I’ve stayed in New York multiple times and this was by far the best place I’ve ever stayed at and also the cleanest. It’s in the great location and I would definitely stay here again!",5
Great location for getting around. Near to all underground stations. Good heating in the room. Room was quite small and nowhere to put heavy clothes. Kept it all in the cases! Comfy bed. Coffee maker and microwave.,5
We completely enjoyed our stay. It is central to everything which made commuting and seeing sights easy. Host was great and answered my questions beforehand. I would definitely come back!,5
"I absolutely loved my stay here. I would highly recommend it if you’re coming to NYC for the first time. Everything is walkable, Times Square is right there, and subways are nearby. Staff was incredibly kind, and Jason was a very friendly and responsive host.",5
E3ally liked the experience apart from the $30/night charge that was added to 2hat I paid through Airbnb. Supposedly for wifi and dry cleaning whether you need it or not. Other coupons were included but this significant additional expense per night came as a surprise at check in.,5
"Great location. Walkable from time square and right in front of the hop on hop off stop which was extremely convenient. Room was super small and barely had space to walk around, but in all a good place.",4
"perfect location to visit downtown NY. Time square is right after the corner, central Park 25minutes by walk. everything was as desired. The lady with glasses at the front desk was so kind and helpful. Kudos to her!",5
"The location was close to everything—literally steps from Bryant Park and right in the heart of Times Square. It made getting around NYC incredibly easy, whether we were sightseeing, shopping, or grabbing food. The staff was extremely helpful, friendly, and accommodating from check-in to check-out. The room was clean and comfortable, and despite being in such a busy area, it was surprisingly quiet at night. I would definitely stay here again and highly recommend it for anyone visiting New York City.",5
Hosts were responsive to original reservation and everything was exactly as they said it would be. Location could not be beat!!! restaurant on premises and very friendly front desk staff!!! We will definitely be back!!!!,5
I had a decent stay at this hotel and my host was very responsive.. place was very clean and nice.. I’ll surely book again sometime in the future and all recommend it to friends..,4
"Great facilities and an awesome location! It's a block away from Times Square and Bryant Park. We took the Hop-on Hop-off bus right outside the hotel and the Newark Express to Newark Airport in front of Bryant Park. You can walk to most NYC attractions from there. In the lobby is Paul's on Times Square restaurant, which has great food and service. We went to NYC for my father's birthday, and he was amazed by the hotel.",5
"My stay at the hotel was great. It is located just steps away from the most popular clothing stores, such as Zara and H&M, very close to Bryant Park, and only a short walk from Times Square. Truly a perfect location to visit the city’s iconic spots without the need to take a taxi or public transportation. The room met my expectations, and the service I received at the front desk was appropriate.",5
"If you’re looking for basic room and amenities in the center of NYC’s Times Square, Hilton Garden Inn is a great place to stay. The price is right and it’s a walking distance from a lot of touristic attractions. I prefer a quieter location with more amenities for an extra price per night. But this was perfect because it was a walking distance from my conference.",4
"My stay in NY was amazing, big part thanks to hotel staff! They were all very supportive, helpful, kind and so good in what they are doing that i was amazed! thanks to all!",5
The Hilton Garden Inn was a wonderful hotel and I would definitely stay there again. The staff was amazing and our Airbnb host. Jason was extremely accommodating and very helpful with any questions we had.,5
The hotel itself was clean and comfortable. The cleaning staff was super attentive and made sure we had what we needed. Check in was simple and the free coffee was so good. Everything was walking distance and near transportation. I would definitely rebook with them.,5
"The hotel was in the best location, close to the subway, walking distance to the middle of Times Square and the best food places all within walking distance. Hotel staff were so great! I would definitely stay here again! Jason was very responsive to any messages and very helpful!",5
The hotel lobby and room were well maintained and the staff was friendly and helpful. My room on the 27th floor was surprisingly quiet given the location and the bed was comfortable. The hotel is in a great location and was really close to Bryant Street Park and the subway system.,5
"Amazing location! Perfect for getting around the city. Rooms are small but that’s NYC, and everything was extremely clean. Will definitely consider staying again next time!",5
"We had a wonderful stay at Hilton Garden Suites Times Square Central! The staff was friendly, welcoming, and always helpful, which made our trip even more enjoyable. The location is perfect—right in the heart of Times Square, making it easy to walk to Broadway shows, great restaurants, and subway stations. The room was clean, comfortable, and had everything we needed for a convenient stay in New York City. Highly recommend for anyone looking for a central spot with excellent service!",5
Great place to stay! Staff was very friendly and gave great recommendations. Lovely restaurant in the lobby and beautiful room + view.,5
"Great location right in Times Square! Easy check in, beautiful views, & fantastic service! Thank you will come again.",5
I had a great stay. Beautiful views very clean and very clear instructions for check in and check out. I will be booking again in the future !,5
"Everything was as advertised and the location was extremely convenient for all the Christmas markets, Broadway shows, and New York landmarks.",5
"Hotel was in a great location, literally steps away from Times Square and close to the subway! My husband and I had a great time and we will be back!!",5
Amazing location. The check in process was very smooth even with a very long queue. The staff were very helpful with all my queries.,5
"Great stay! The shower was incredible! Quiet, Friendly, efficient, held our bags for no charge. Perfect everything.",5
"Centric place to stay at, close to the metro which made it so much easier to move around . I would stay here again 100%",5
"On a solo weekend trip (and as a former New Yorker who knows NYC fairly well), I chose this hotel for its central location and walkability, cleanliness, safety, and a good night's sleep. It's in an excellent location right by the Times Square train station with access to a million lines to take you anywhere, a quick walk to/from Penn Station train station (as I'd be taking the NJ Transit from Newark airport), and a quick walk to Broadway shows and many key NYC sites like Empire, Rockefeller, Bryant Park, etc. As it's in a central busy location with Times Square's constant bright lights, I always felt safe walking back by myself even at 2am. There is always a security guard at the front door too. This is a no frills not super fancy place, but is excellent for a reliable clean room, unbeatable location, safe area for solo traveler, and quiet sleep. Lobby staff were great and friendly. You're paying for location here to maximize time spent out in NYC, not a luxurious hotel stay.",4
We enjoyed our stay! This was a great hotel room. The room was small but not abnormal for hotels in the area. This was a good home away from home. I would stay here again.,5
"The host is not actually the hotel itself, but an intermediary on Airbnb. When we arrived at the hotel, the hotel had not received the reservation details, and together with the hotel manager Joe. we had to reach out to the host to obtain the required information. The whole process lasted about an hour or so. Joe the hotel manager was very helpful and understanding, and treated us very well while we had to wait to sort this out. Other than that, all was great, the location especially is hard to beat. The price was much higher than normal though, due to the dates (during UNGA80). All in all, a great place to stay, and we would stay again.",4
"To be at walking distance from the majority of the places I visited in NYC, plus being able to have a well rested sleep at the Hilton Times Square, was an awesome mini-vacay I’d to all over again and again.",5
"I had an amazing stay at the Hilton Garden Inn in NYC! The location was perfect — close to major attractions, subway stations, and plenty of restaurants. The room was spotless, comfortable, and quiet, which made it easy to relax after a long day exploring the city. The staff were incredibly friendly and helpful, always greeting me with a smile and quick to answer questions or offer recommendations. The amenities, including the mini-fridge, coffee maker, and comfortable bed, made the stay even better. Everything about my experience was smooth and pleasant — from check-in to check-out. I would definitely stay here again and highly recommend it to anyone visiting New York City!",5
"Good location for a few days in NYC. Walkable, close to the subway, doors lock at 11 ensuring guest safety (can use room card to get in), complementary coffee and tea in the mornings, gym, laundry, $10 credit for snacks. Downsides include previous guests belongings left in room including dirty socks and a bag of medication and fridge did not work. Overall, not a bad place to stay to visit and explore.",4
My mom and I came to NYC for some Broadway shows! The location was perfect for that. We loved being able to walk to everything. We were able to drop our bags off before check in. The staff was friendly and accommodating. The host was helpful and responsive. We would definitely stay again next time we come to NYC.,5
Great location and the staff was very friendly and helpful. They were very patient with explaining the fees that you are paying such as destination fees and making sure that we were all good to go when checking in. I really appreciate the staff holding our bags before and after check-in. It really made our trip so much more comfortable and easier. Thank you again and we hope to stay here again.,4
"HGI has an amazing walkable location. Blocks away from Times Square, Joe’s Pizza, and plenty of subway entrances. We had an amazing time and will most definitely be back again! We had great service at the hotel and the ability to check our bags the last day while we explored before our flight was so convenient. There is so much to do near this hotel. We will be back again for sure",5
"The location is great. Just beside Times Square metro station, and a few blocks from the best Broadway theaters. The hospitality services are very good, and they have some complimentary goods for the guests that make the stay even more comfortable. The room services are made every day, keeping the room always clean and well organized. A very good choice for a fair cost-benefit stay at the Times Square area.",5
"The Hilton garden Inn was incredible, it is really near to Times Square, and others importants attractions on NYC such as Rockefeller center and public library, the room is a little be small but it is perfect to rest after a long day, it's very quiet and comfortably. The hotel has in the lobby an store that is good for a little snack of beverage.",5
"This hotel is centrally located at Times Square, it had all the amenities I wanted like a fridge and microwave, was very clean and the staff were super friendly. I will definitely stay here again!! The price was good as well -- my brother stayed in Harlem at a hotel that was 2x the price and didn't even have a fridge!",5
"We planned a trip to NYC to go to Broadway and see some shows. This Hilton is perfectly situated and close to everything. It was under renovation, but our room was fine. The bed was comfy, there was hot water and plenty of towels. Aside from that we were out the door every day. One nice thing they did was hold our luggage after the last play we saw, before we headed out of town. Really appreciated that!",5
Great stay if you want to be in the middle of the city. Times Square was literally just steps away. Staff was very friendly and accommodating.,5
"Fabulous room, close to everything and the staff was highly attentive",5
Excellent. Clean. Well located. Helpful staff. Fairly priced.,5
"Great stay! Close to everything, check in and checkout was easy, we enjoyed our time!",5
The location is perfect close to everything. You can walk to about everything you needed.,5
"Location is amazing, walking distance to multiple subway lines. Check in was very smooth and the hotel is able to hold luggage before check in/after check out.",5
"Very worn down. Unwelcoming reception, old and does not match pictures Not worth the money paid",1
Really great place to stay. Right in the city and the employees are all very friendly. I felt very safe staying there alone! Will keep this in mind if I go back!!,5
Absolutely loved the location. Was dead center to everything. Subway was only a 2 minute walk. Definitely recommend this hotel.,5
"Had a great stay at the Hilton, staff is very friendly and accommodating. Great location just five minutes from time square",5
"Great place. Perfect location. Trains nearby and walkable to many restaurants, shopping and broadway shows. Would definitely stay there again.",5
Great hotel! Very friendly staff and in a great location and in walking distance to a lot of attractions!,5
Excellent location! absolutely enjoyed my stay. The staff was very friendly and the rooms were comfortable.,5
"Everything was nice here, comfortable bed, issue with water coming out into bathroom when showering, however once reported it was fixed.",5
"We loved this hotel!!! It was so clean and in a perfect spot, right by Tmes Square. The price was great, the room was super nice with a standup shower. We didn't experience any ""city noise"" and the staff was a delight. We will definitely be booking again when we stay in the city!",5
Hilton Garden Inn Times Square Central 42nd street is at a very convenient location to reach what NY Times Square has to offer. The staff members were very attentive and helpful. We are very happy for our stay at this location and recommend this place as a top of the list lodging alternative.,5
The host along with all of the staff were amazing. The location was ideal and close to everything. The room was super clean and the hotel staff were attentive. I slept well in the bed and the smart tv was appreciated.,5
"Super convenient spot in time square. Rooms with all necessary electronics appliances such as microwave, coffee maker, and frig. People are so very friendly and responsive! Super good daily credit for water and laundry. Free Starbucks everyday is awesome!",5
"Clean, well kept. Friendly!!!! Amazing location.",5
This is a great place to stay and it’s right next to the Square.,5
Great location! Would book this place again!,5
Excellent location! Will be staying here again!,5
Awesome place to stay. Everything in the description is correct. Thanks,5
"Great location, friendly staff. Will book again for my next NY trip.",5
"All Good, but it’s been 15 days al ready and i haven’t got my deposit back. Can some one help me?",1
"It came as a surprise that my room was not made after the first day. Upon asking, I was informed it was every second day. I was also charged an additional $94.76 which was not specified when I booked. Including ""destination charge"" (what was that for??) and four different line items of City Tax. The Destination Charge is a hidden fee relating to ""non-optional"" services provided at the property. It was non-avoidable, and a should have been part of the booking rate. Very sneaky and unethical of Hilton to operate this way.",4
Excellent place to stay due to its location,5
Perfect location! Close to everything! Enjoyed our stay!,5
Great stay just steps away from Times Square!,5
Good place to stay and in a good location near Times Square,4
staff and location were perfect,5
Great place to stay highly recommend,5
"Great location, close to everything.",5
"We went to work in the city and rented it for our team. Excellent location, great amenities, very good bed. The hotel allows you to leave your luggage in the lobby, which was very important for our departure and arrival. Cleaning is available every day and free Starbucks coffee in the lobby daily. We highly recommend this place! Translated from Portuguese Show original",5
Great stay - highly recommend & will return again in the future.,5
Great location to Times Square. Clean. Beautiful hotel.,5
"Good location, decent size and cleanliness.",4
The 4 nights at the Hilton Garden Inn Times Square Central were perfect.,5
Excellent location and all services neede,5
Great location. The staff was helpful and nice coffee.,5
Great location! Enjoyed my stay very much!,5
"We love the Hilton Garden Inn. Great location, wonderful & attentive staff. Our top choice to stay in New York!",5
Great location in between Times Square and Bryant Park. Easy check in and spacious room by NYC standards,5
Great location to stay the host the staff and room were great! If you’re visiting Central NY this the place to be. Everything within walking distance.,5
"Great stay. Nice accommodations, great location, the internet worked fine in my laptop so I could work during the week",5
"7 years on Airbnb Rating, 1 star , · May 2025 I have given this hotel one star because of being charged twice for taxes. The hotel itself was good, great area, quite for location, clean bathroom so no complaints there. Negatives were common areas etc need refurbishment but this is of reflected in the price paid. Only 3 elevators for 36 floors and one was out for the whole 8 nights of our stay. Wait times were ok but can be extended in busy periods. Staff were friendly and room serviced daily by a lovely lady. My issue is all taxes and charges were paid to Airbnb except for the destination charge which was to be paid to the hotel. As checkout was busy express checkout was suggested with the invoice emailed. Upon receipt I had been charged the destination charge plus local taxes that had already been paid. No amount of phone calls to the hotel or Airbnb has reversed this mistake of US$308. Clearly both companies have no idea what their process is. Other reviews seems to replicate my experience. Don’t book on Airbnb is my advice.",1
Great location. Close to time square & Bryant Park. Easy walk from the subway. Everyone was nice and helpful. loved it!,5
"We had security trying to get into our room aggressively one morning. They knocked multiple times, we told them ""not right now"" and they said they will come back later. We were still trying to sleep. They came back again and actually opened our door, we had a do not disturb sign on and we were in bed. They apologized and left. They came back again later, until I spoke to the front desk. We were woken up every morning of our stay at about 9am to an announcement from the front desk repeating something like ""Attention, we will be conducting a test on the fire alarm system. If you see flashes or strobes, ignore them and stay in your room."" This repeated about 3x per announcement. It was very annoying, as we were here for a birthday trip and were out late at night but we would get woken up daily to this. The fridge in the room had trash left in it from the previous person staying in it. Overall, not very happy with the stay and wouldn't recommend.",1
"10 months on Airbnb Rating, 3 stars , · April 2025 Staff is quite shitty and there are door noises, room isn’t cleaned on time. Location is fabulous tho",3
"This would have been a 5 star review if I wasn’t dealing with payment issues regarding improper charges two weeks after checking out. The hotel was perfectly located and very convenient. The room was very comfortable and had everything we needed. The bathroom looked recently renovated and everything was cleaned daily. They stored our luggage after check out, which was really helpful. Staff was friendly but did not help us after we were handed a report including excessive charges billed to my credit card that were not described here in this listing. I was expecting to pay the destination fee of $34.42 + $3.50 per night + refundable damage deposit, but instead we were charged double that price in unreasonable taxes and fees. I was told by the staff in the front desk that I should sort it out with the hosts from Airbnb, which I have been doing since we checked out but no resolution was offered so far. This was very disappointing and I wouldn’t trust this hotel again unfortunately.",4
"This was the perfect location to be right in the middle of everything! Restaurants, Shops, Subways. etc.",5
"upon my arrival there was a young lady was helpful n kind she took my suitcase cause I was a little early for check in. when I arrived back to the hotel, this guy assisted with payment etc I was with my neice as stands an observed, he took my credit card swiped said every was fine, however I left without my suitcase because everyone else was getting there's bought to them etc n bout up to the room so I'm thinking they bought my bags to the room which was on the 21 st fl , mind u this is my bday wkend my I met my neice for the first time!! we continued our way to the room.. Boom no suitcase all the back down stairs, and my neice waiting.. later that night, we had dinner reservations came back showered of course now I turn on the shower ran gathered my evening wear went back to the bathroom shower is cold now this is about 10 mins on my behalf, I called downstairs told them and this heifa is going go tell me turn the sink ok hot and the shower then run it for 10 mins... to be continu",1
"Great hotel located right in Times Square, staff was very nice and room was very cozy and clean!",5
"Holy moly - so close to Times Square. Amazing water pressure in shower! Comfy, quiet, perfect.",5
"8 years on Airbnb Rating, 5 stars , · 1 week ago Great place. Comfortable",5
Great place and location!,5
Great stay,5
Perfect,5
"Very good location. I was a little afraid of the noise but even being on the inner floors, the room was very quiet. The location is ideal for visiting the city on foot or very well served by the metro. Perfect room for one person, maybe a little small for two people with two suitcases. Translated from French Show original",5
"Excellent location, really nice comfortable rooms.",5
Awesome location and great hotel!,5
Very convenient. Close to restaurants and theaters.,5
Hilton quality in a great location.,5
It was really good to stay here.Thank you very much,5
The housekeeping every day was nice.,5
"NYC is pricey, but all things considered the staff were helpful and friendly. They even provided a snack credit from their snack/amenities shop.",5
We will absolutely be staying here again. It was so central to everything.,5
Extra fees that host will not mention. Recommend booking through the hotel and not Airbnb.,1
Host was amazing. He was incredibly helpful and kind. Would book with him again no doubt!,5
"Excellent apartment, bed, bedding, shower, water and ice machines on some floors also helped a lot. Great communication with hotel staff and around here. Great location and great value. Translated from Portuguese Show original",5
Very nice location and hotel!,4
Great hotel,5
Great location!!,5
Clean peaceful nice staff,5
Everything perfect,5
"Very central location, a stone's throw from Times Square. Small room as expected in NYC but comfortable and functional. Water and coffee available at the reception. Average value for money in the area. Recommended!! Translated from Italian Show original",5
"Totally recommended for the location (on 42 St ideal). We arrived early and there was no problem. As well as the kindness and good service of all the staff, from the reception to the cleaning. Translated from Spanish Show original",5
"Clean, cozy, and quiet… front desk staff we're all superb",5
Great location! Friendly host! I do recommend!,5
Situated at Times Square location and near to subway stations for access. Easy to navigate subway. Take advantage of getting a “senior” metro card. Subway much better to get around in Manhattan. Site location is excellent. Room was as shown in photo. Neat and clean but on the smaller side. Guard at front entrance makes for a good secure and safe entry. Reception area at an upper level. Reception staff pleasant and helpful.,4
